id,lemma,pronunciation,transliteration,definition,derivation,strongsNumber,englishWord
6951,קָהָל,kaw-hawl',qâhâl,assemblage (usually concretely),from H6950 (קָהַל);,H6951,"assembly, company, congregation, multitude."
6952,קְהִלָּה,keh-hil-law',qᵉhillâh,an assemblage,from H6950 (קָהַל);,H6952,"assembly, congregation."
6953,קֹהֶלֶת,ko-heh'-leth,qôheleth,"a (female) assembler (i.e. lecturer); abstractly, preaching (used as a 'nom de plume', Koheleth)",feminine of active participle from H6950 (קָהַל);,H6953,preacher.
6954,קְהֵלָתָה,keh-hay-law'-thaw,Qᵉhêlâthâh,"Kehelathah, a place in the Desert",from H6950 (קָהַל); convocation;,H6954,Kehelathah.
6955,קְהָת,keh-hawth',Qᵉhâth,"Kehath, an Israelite",from an unused root meaning to ally oneself; allied;,H6955,Kohath.
6956,קֳהָתִי,ko-haw-thee',Qŏhâthîy,a Kohathite (collectively) or descendants of Kehath,patronymically from H6955 (קְהָת);,H6956,Kohathites.
6957,קַו,kav,qav,"a cord (as connecting), especially formeasuring; figuratively, a rule; also a rim, a musical string or accord",or קָו; from H6960 (קָוָה) (compare H6961 (קָוֶה));,H6957,"line. Compare H6978 (קַו־קַו)lemma קַו־קַי yod, corrected to קַו־קַו."
6958,קוֹא,ko,qôwʼ,to vomit,"or קָיָה; (Jeremiah 25:27), a primitive root;",H6958,"spue (out), vomit (out, up, up again)."
6959,קוֹבַע,ko'-bah or ko-bah',qôwbaʻ,a helmet,a form collateral to H3553 (כּוֹבַע);,H6959,helmet.
6960,קָוָה,kaw-vaw',qâvâh,"to bind together (perhaps by twisting), i.e. collect; (figuratively) to expect",a primitive root;,H6960,"gather (together), look, patiently, tarry, wait (for, on, upon)."
6961,קָוֶה,kaw-veh',qâveh,a (measuring) cord (as if for binding),from H6960 (קָוָה);,H6961,line.
6962,קוּט,koot,qûwṭ,"properly, to cut off, i.e. (figuratively) detest",a primitive root;,H6962,"begrieved, loathe self."
6963,קוֹל,kole,qôwl,a voice or sound,or קֹל; from an unused root meaning to call aloud;,H6963,"[phrase] aloud, bleating, crackling, cry ([phrase] out), fame, lightness, lowing, noise, [phrase] hold peace, (pro-) claim, proclamation, [phrase] sing, sound, [phrase] spark, thunder(-ing), voice, [phrase] yell."
6964,קוֹלָיָה,ko-law-yaw',Qôwlâyâh,"Kolajah, the name of two Israelites",from H6963 (קוֹל) and H3050 (יָהּ); voice of Jah;,H6964,Kolaiah.
6965,קוּם,koom,qûwm,"to rise (in various applications, literal, figurative, intensive and causative)",a primitive root;,H6965,"abide, accomplish, [idiom] be clearer, confirm, continue, decree, [idiom] be dim, endure, [idiom] enemy, enjoin, get up, make good, help, hold, (help to) lift up (again), make, [idiom] but newly, ordain, perform, pitch, raise (up), rear (up), remain, (a-) rise (up) (again, against), rouse up, set (up), (e-) stablish, (make to) stand (up), stir up, strengthen, succeed, (as-, make) sure(-ly), (be) up(-hold, -rising)."
6966,קוּם,koom,qûwm,"{to rise (in various applications, literal, figurative, intensive and causative)}",(Aramaic) corresponding to H6965 (קוּם),H6966,"appoint, establish, make, raise up self, (a-) rise (up), (make to) stand, set (up)."
6967,קוֹמָה,ko-maw',qôwmâh,height,from H6965 (קוּם);,H6967,"[idiom] along, height, high, stature, tall."
6968,קוֹמְמִיּוּת,ko-mem-ee-yooth',qôwmᵉmîyûwth,"elevation, i.e. (adverbially) erectly (figuratively)",from H6965 (קוּם);,H6968,upright.
6969,קוּן,koon,qûwn,"to strike a musical note, i.e. chant or wail (at a funeral)",a primitive root;,H6969,"lament, mourning woman."
6970,קוֹעַ,ko'-ah,Qôwaʻ,"Koa, a region of Babylon",probably from H6972 (קוּץ) in the original sense of cutting off; curtailment;,H6970,Koa.
6971,קוֹף,kofe,qôwph,a monkey,"or קֹף; of foreign origin,",H6971,ape.
6972,קוּץ,koots,qûwts,to spend the harvest season,a primitive root; to clip off; used only as denominative from H7019 (קַיִץ);,H6972,summer.
6973,קוּץ,koots,qûwts,"to be (causatively, make) disgusted or anxious",a primitive root (identical with through the idea of severing oneself from (compare H6962 (קוּט)));,H6973,"abhor, be distressed, be grieved, loathe, vex, be weary."
6974,קוּץ,koots,qûwts,to awake (literally or figuratively),a primitive root (identical with through the idea of abruptness in starting up from sleep (compare H3364 (יָקַץ)));,H6974,"arise, (be) (a-) wake, watch."
6975,קוֹץ,kotse,qôwts,a thorn,or קֹץ; from H6972 (קוּץ) (in the sense of pricking);,H6975,thorn.
6976,קוֹץ,kotse,Qôwts,"Kots, the name of two Israelites",the same as H6975 (קוֹץ);,H6976,"Koz, Hakkoz (including the article)."
6977,קְוֻצָּה,kev-oots-tsaw',qᵉvutstsâh,a forelock (as shorn),feminine passive participle of H6972 (קוּץ) in its original sense;,H6977,lock.
6978,קַו־קַו,kav-kav',qav-qav,stalwart,from H6957 (קַו) (in the sense of a fastening);,H6978,[idiom] meted out.
6979,קוּר,koor,qûwr,"to trench; by implication, to throw forth;  to wall up, whether literal (to build a wall) or figurative (to estop)",a primitive root; also denominative from H7023 (קִיר),H6979,"break down, cast out, destroy, dig."
6980,קוּר,koor,qûwr,"(only plural) trenches, i.e. a web (as if so formed)",from H6979 (קוּר);,H6980,web.
6981,קוֹרֵא,ko-ray',Qôwrêʼ,"Kore, the name of two Israelites","or קֹרֵא; (1 Chronicles 26:1), active participle of H7121 (קָרָא); crier;",H6981,Kore.
6982,קוֹרָה,ko-raw',qôwrâh,"a rafter (forming trenches as it were); by implication, a roof",or קֹרָה; from H6979 (קוּר);,H6982,"beam, roof."
6983,קוֹשׁ,koshe,qôwsh,to set a trap,"a primitive root; to bend; used only as denominative for H3369 (יָקֹשׁ),",H6983,lay a snare.
6984,קוּשָׁיָהוּ,koo-shaw-yaw'-hoo,qûwshâyâhûw,"Kushajah, an Israelite",from the passive participle of H6983 (קוֹשׁ) and H3050 (יָהּ); entrapped of Jah;,H6984,Kushaiah.
6985,קַט,kat,qaṭ,"a little, i.e. (adverbially) merely",from H6990 (קָטַט) in the sense of abbreviation;,H6985,very.
6986,קֶטֶב,keh'-teb,qeṭeb,ruin,from an unused root meaning to cut off;,H6986,"destroying, destruction."
6987,קֹטֶב,ko'-teb,qôṭeb,extermination,from the same as H6986 (קֶטֶב);,H6987,destruction.
6988,קְטוֹרָה,ket-o-raw',qᵉṭôwrâh,perfume,from H6999 (קָטַר);,H6988,incense.
6989,קְטוּרָה,ket-oo-raw',Qᵉṭûwrâh,"Keturah, a wife of Abraham",feminine passive participle of H6999 (קָטַר); perfumed;,H6989,Keturah.
6990,קָטַט,kaw-tat',qâṭaṭ,"to clip off, i.e. (figuratively) destroy",a primitive root;,H6990,be cut off.
6991,קָטַל,kaw-tal',qâṭal,"properly, to cut off, i.e. (figuratively) put to death",a primitive root;,H6991,"kill, slay."
6992,קְטַל,ket-al',qᵉṭal,to kill,(Aramaic) corresponding to H6991 (קָטַל);,H6992,slay.
6993,קֶטֶל,keh'-tel,qeṭel,a violent death,from H6991 (קָטַל);,H6993,slaughter.
6994,קָטֹן,kaw-tone',qâṭôn,"to diminish, i.e. be (causatively, make) diminutive or (figuratively) of no account",a primitive root (rather denominative from H6996 (קָטָן));,H6994,"be a (make) small (thing), be not worthy."
6995,קֹטֶן,ko'-ten,qôṭen,"a pettiness, i.e. the little finger",from H6994 (קָטֹן);,H6995,little finger.
6996,קָטָן,kaw-tawn',qâṭân,"abbreviated, i.e. diminutive, literally (in quantity, size or number) or figuratively (in age or importance)",or קָטֹן; from H6962 (קוּט);,H6996,"least, less(-er), little (one), small(-est, one, quantity, thing), young(-er, -est)."
6997,קָטָן,kaw-tawn',Qâṭân,"Katan, an Israelite",the same as H6996 (קָטָן); small;,H6997,Hakkatan (including the article).
6998,קָטַף,kaw-taf',qâṭaph,to strip off,a primitive root;,H6998,"crop off, cut down (up), pluck."
6999,קָטַר,kaw-tar',qâṭar,"to smoke, i.e. turn into fragrance by fire (especially as an act of worship)",a primitive root (identical with through the idea of fumigation in a close place and perhaps thus driving out the occupants);,H6999,"burn (incense, sacrifice) (upon), (altar for) incense, kindle, offer (incense, a sacrifice)."
7000,קָטַר,kaw-tar',qâṭar,to inclose,a primitive root;,H7000,join.
7001,קְטַר,ket-ar',qᵉṭar,"a knot (as tied up), i.e. (figuratively) a riddle; also a vertebra (as if a knot)",(Aramaic) from a root corresponding to H7000 (קָטַר);,H7001,"doubt, joint."
7002,קִטֵּר,kit-tare',qiṭṭêr,perfume,from H6999 (קָטַר);,H7002,incense.
7003,קִטְרוֹן,kit-rone',Qiṭrôwn,"Kitron, a place in Palestine",from H6999 (קָטַר); fumigative;,H7003,Kitron.
7004,קְטֹרֶת,ket-o'-reth,qᵉṭôreth,a fumigation,from H6999 (קָטַר);,H7004,"(sweet) incense, perfume."
7005,קַטָּת,kat-tawth',Qaṭṭâth,"Kattath, a place in Palestine",from H6996 (קָטָן); littleness;,H7005,Kattath.
7006,קָיָה,kaw-yaw',qâyâh,to vomit,a primitive root;,H7006,spue.
7007,קַיִט,kah'-yit,qayiṭ,harvest,(Aramaic) corresponding to H7019 (קַיִץ);,H7007,summer.
7008,קִיטוֹר,kee-tore',qîyṭôwr,"a fume, i.e. cloud",or קִיטֹר; from H6999 (קָטַר);,H7008,"smoke, vapour."
7009,קִים,keem,qîym,"an opponent (as rising against one), i.e. (collectively) enemies",from H6965 (קוּם);,H7009,substance.
7010,קְיָם,keh-yawm',qᵉyâm,an edict (as arising in law),(Aramaic) from H6966 (קוּם);,H7010,"decree, statute."
7011,קַיָּם,kah-yawm',qayâm,permanent (as rising firmly),(Aramaic) from H6966 (קוּם);,H7011,"stedfast, sure."
7012,קִימָה,kee-maw',qîymâh,an arising,from H6965 (קוּם);,H7012,rising up.
7013,קַיִן,kah'-yin,qayin,a lance (as striking fast),from H6969 (קוּן) in the original sense of fixity;,H7013,spear.
7014,קַיִן,kah'-yin,Qayin,"Kajin, the name of the first child, also of a place in Palestine, and of an Oriental tribe",the same as H7013 (קַיִן) (with a play upon the affinity to H7069 (קָנָה));,H7014,"Cain, Kenite(-s)."
7015,קִינָה,kee-naw',qîynâh,a dirge (as accompanied by beating the breasts or on instruments),from H6969 (קוּן);,H7015,lamentation.
7016,קִינָה,kee-naw',Qîynâh,"Kinah, a place in Palestine",the same as H7015 (קִינָה);,H7016,Kinah.
7017,קֵינִי,kay-nee',Qêynîy,a Kenite or member of the tribe of Kajin,"or קִינִי; (1 Chronicles 2:55), patronymic from H7014 (קַיִן);",H7017,Kenite.
7018,קֵינָן,kay-nawn',Qêynân,"Kenan, an antediluvian",from the same as H7064 (קֵן); fixed;,H7018,"Cainan, Kenan."
7019,קַיִץ,kah'-yits,qayits,"harvest (as the crop), whether the product (grain or fruit) or the (dry) season",from H6972 (קוּץ);,H7019,"summer (fruit, house)."
7020,קִיצוֹן,kee-tsone',qîytsôwn,terminal,from H6972 (קוּץ);,H7020,out-(utter-) most.
7021,קִיקָיוֹן,kee-kaw-yone',qîyqâyôwn,the gourd (as nauseous),perhaps from H7006 (קָיָה);,H7021,gourd.
7022,קִיקָלוֹן,kee-kaw-lone',qîyqâlôwn,intense disgrace,from H7036 (קָלוֹן);,H7022,shameful spewing.
7023,קִיר,keer,qîyr,a wall (as built in a trench),"or קִר; (Isaiah 22:5), or (feminine) קִירָה; from H6979 (קוּר);",H7023,"[phrase] mason, side, town, [idiom] very, wall."
7024,קִיר,keer,Qîyr,"Kir, a place in Assyrian; also one in Moab",the same as H7023 (קִיר); fortress;,H7024,Kir. Compare H7025 (קִיר חֶרֶשׂ).
7025,קִיר חֶרֶשׂ,keer kheh'-res,Qîyr Cheres,"Kir-Cheres or Kir-Chareseth, a place in Moab",or (feminine of the latter word) קִיר חֲרֶשֶׂת; from H7023 (קִיר) and H2789 (חֶרֶשׂ); fortress of earthenware;,H7025,"Kir-haraseth, Kir-hareseth, Kirharesh, Kir-heres."
7026,קֵירֹס,kay-roce',Qêyrôç,"Keros, one of the Nethinim",or קֵרֹס; from the same as H7166 (קַרְסֹל); ankled;,H7026,Keros.
7027,קִישׁ,keesh,Qîysh,"Kish, the name of five Israelites",from H6983 (קוֹשׁ); a bow;,H7027,Kish.
7028,קִישׁוֹן,kee-shone',Qîyshôwn,"Kishon, a river of Palestine",from H6983 (קוֹשׁ); winding;,H7028,"Kishon, Kison."
7029,קִישִׁי,kee-shee',Qîyshîy,"Kishi, an Israelite",from H6983 (קוֹשׁ); bowed;,H7029,Kishi.
7030,קִיתָרֹס,kee-thaw-roce',qîythârôç,a lyre,(Aramaic) of Greek origin;,H7030,harp.
7031,קַל,kal,qal,light; (by implication) rapid (also adverbial),contracted from H7043 (קָלַל);,H7031,"light, swift(-ly)."
7032,קָל,kawl,qâl,{a voice or sound},(Aramaic) corresponding to H6963 (קוֹל),H7032,"sound, voice."
7033,קָלָה,kaw-law',qâlâh,"to toast, i.e. scorch partially or slowly",a primitive root (rather identical with H7034 (קָלָה) through the idea of shrinkage by heat);,H7033,"dried, loathsome, parch, roast."
7034,קָלָה,kaw-law',qâlâh,"to be light (as implied in rapid motion), but figuratively, only (be (causatively, hold) in contempt)",a primitive root;,H7034,"base, contemn, despise, lightly esteem, set light, seem vile."
7035,קָלַהּ,kaw-lah',qâlahh,to assemble,for H6950 (קָהַל);,H7035,gather together.
7036,קָלוֹן,kaw-lone',qâlôwn,disgrace; (by implication) the pudenda,from H7034 (קָלָה);,H7036,"confusion, dishonour, ignominy, reproach, shame."
7037,קַלַּחַת,kal-lakh'-ath,qallachath,a kettle,apparently but a form for H6747 (צַלַּחַת);,H7037,caldron.
7038,קָלַט,kaw-lat',qâlaṭ,to maim,a primitive root;,H7038,lacking in his parts.
7039,קָלִי,kaw-lee',qâlîy,roasted ears of grain,or קָלִיא; from H7033 (קָלָה);,H7039,parched corn.
7040,קַלַּי,kal-lah'-ee,Qallay,"Kallai, an Israelite",from H7043 (קָלַל); frivolous;,H7040,Kallai.
7041,קֵלָיָה,kay-law-yaw',Qêlâyâh,"Kelajah, an Israelite",from H7034 (קָלָה); insignificance;,H7041,Kelaiah.
7042,קְלִיטָא,kel-ee-taw',Qᵉlîyṭâʼ,"Kelita, the name of three Israelites",from H7038 (קָלַט); maiming;,H7042,Kelita.
7043,קָלַל,kaw-lal',qâlal,"to be (causatively, make) light, literally (swift, small, sharp, etc.) or figuratively (easy, trifling, vile, etc.)",a primitive root;,H7043,"abate, make bright, bring into contempt, (ac-) curse, despise, (be) ease(-y, -ier), (be a, make, make somewhat, move, seem a, set) light(-en, -er, -ly, -ly afflict, -ly esteem, thing), [idiom] slight(-ly), be swift(-er), (be, be more, make, re-) vile, whet."
7044,קָלָל,kaw-lawl',qâlâl,brightened (as if sharpened),from H7043 (קָלַל);,H7044,"burnished, polished."
7045,קְלָלָה,kel-aw-law',qᵉlâlâh,vilification,from H7043 (קָלַל);,H7045,"(ac-) curse(-d, -ing)."
7046,קָלַס,kaw-las',qâlaç,"to disparage, i.e. ridicule",a primitive root;,H7046,"mock, scoff, scorn."
7047,קֶלֶס,keh'-les,qeleç,a laughing-stock,from H7046 (קָלַס);,H7047,derision.
7048,קַלָּסָה,kal-law-saw',qallâçâh,ridicule,intensive from H7046 (קָלַס);,H7048,mocking.
7049,קָלַע,kaw-lah',qâlaʻ,"to sling; also to carve (as if a circular motion, or into light forms)",a primitive root;,H7049,"carve, sling (out)."
7050,קֶלַע,keh'-lah,qelaʻ,"a sling; also a (door) screen (as if slung across), or the valve (of the door) itself",from H7049 (קָלַע);,H7050,"hanging, leaf, sling."
7051,קַלָּע,kal-law',qallâʻ,a slinger,intensive from H7049 (קָלַע);,H7051,slinger.
7052,קְלֹקֵל,kel-o-kale',qᵉlôqêl,insubstantial,from H7043 (קָלַל);,H7052,light.
7053,קִלְּשׁוֹן,kil-lesh-one',qillᵉshôwn,"a prong, i.e. hay-fork",from an unused root meaning to prick;,H7053,fork.
7054,קָמָה,kuw-maw',qâmâh,"something that rises, i.e. a stalk of grain",feminine of active participle of H6965 (קוּם);,H7054,"(standing) corn, grown up, stalk."
7055,קְמוּאֵל,kem-oo-ale',Qᵉmûwʼêl,"Kemuel, the name of a relative of Abraham, and of two Israelites",from H6965 (קוּם) and H410 (אֵל); raised of God;,H7055,Kemuel.
7056,קָמוֹן,kaw-mone',Qâmôwn,"Kamon, a place East of the Jordan",from H6965 (קוּם); an elevation;,H7056,Camon.
7057,קִמּוֹשׁ,kim-moshe',qimmôwsh,a prickly plant,or קִימוֹשׁ; from an unused root meaning to sting;,H7057,nettle. Compare H7063 (קִמָּשׁוֹן).
7058,קֶמַח,keh'-makh,qemach,flour,from an unused root probably meaning to grind;,H7058,"flour, meal."
7059,קָמַט,kaw-mat',qâmaṭ,"to pluck, i.e. destroy",a primitive root;,H7059,"cut down, fill with wrinkles."
7060,קָמַל,kaw-mal',qâmal,to wither,a primitive root;,H7060,"hew down, wither."
7061,קָמַץ,kaw-mats',qâmats,to grasp with the hand,a primitive root;,H7061,take an handful.
7062,קֹמֶץ,ko'mets,qômets,"a grasp, i.e. handful",from H7061 (קָמַץ);,H7062,handful.
7063,קִמָּשׁוֹן,kim-maw-shone',qimmâshôwn,a prickly plant,from the same as H7057 (קִמּוֹשׁ);,H7063,thorn.
7064,קֵן,kane,qên,"a nest (as fixed), sometimes including the nestlings; figuratively, a chamber or dwelling",contracted from H7077 (קָנַן);,H7064,"nest, room."
7065,קָנָא,kaw-naw',qânâʼ,"to be (causatively, make) zealous, i.e. (in a bad sense) jealous or envious",a primitive root;,H7065,"(be) envy(-ious), be (move to, provoke to) jealous(-y), [idiom] very, (be) zeal(-ous)."
7066,קְנָא,ken-aw',qᵉnâʼ,to purchase,(Aramaic) corresponding to H7069 (קָנָה);,H7066,buy.
7067,קַנָּא,kan-naw',qannâʼ,jealous,from H7065 (קָנָא);,H7067,jealous. Compare H7072 (קַנּוֹא).
7068,קִנְאָה,kin-aw',qinʼâh,jealousy or envy,from H7065 (קָנָא);,H7068,"envy(-ied), jealousy, [idiom] sake, zeal."
7069,קָנָה,kaw-naw',qânâh,"to erect, i.e. create; by extension, to procure, especially by purchase (causatively, sell); by implication to own",a primitive root;,H7069,"attain, buy(-er), teach to keep cattle, get, provoke to jealousy, possess(-or), purchase, recover, redeem, [idiom] surely, [idiom] verily."
7070,קָנֶה,kaw-neh',qâneh,"a reed (as erect); by resemblance a rod (especially for measuring), shaft, tube, stem, the radius (of the arm), beam (of a steelyard)",from H7069 (קָנָה);,H7070,"balance, bone, branch, calamus, cane, reed, [idiom] spearman, stalk."
7071,קָנָה,kaw-naw',Qânâh,"Kanah, the name of a stream and of a place in Palestine",feminine of H7070 (קָנֶה); reediness;,H7071,Kanah.
7072,קַנּוֹא,kan-no',qannôwʼ,jealous or angry,for H7067 (קַנָּא);,H7072,jealous.
7073,קְנַז,ken-az',Qᵉnaz,"Kenaz, the name of an Edomite and of two Israelites",probably from an unused root meaning to hunt; hunter;,H7073,Kenaz.
7074,קְנִזִּי,ken-iz-zee',Qᵉnizzîy,a Kenizzite or descendant of Kenaz,"patronymic from H7073 (קְנַז),",H7074,"Kenezite, Kenizzites."
7075,קִנְיָן,kin-yawn',qinyân,"creation, i.e. (concretely) creatures; also acquisition, purchase, wealth",from H7069 (קָנָה);,H7075,"getting, goods, [idiom] with money, riches, substance."
7076,קִנָּמוֹן,kin-naw-mone',qinnâmôwn,cinnamon bark (as in upright rolls),from an unused root (meaning to erect);,H7076,cinnamon.
7077,קָנַן,kaw-nan',qânan,"to nestle, i.e. build or occupy as anest",a primitive root; to erect; but used only as denominative from H7064 (קֵן);,H7077,make...nest.
7078,קֶנֶץ,keh'-nets,qenets,perversion,from an unused root probably meaning to wrench;,H7078,end.
7079,קְנָת,ken-awth',Qᵉnâth,"Kenath, a place East of the Jordan",from H7069 (קָנָה); possession;,H7079,Kenath.
7080,קָסַם,kaw-sam',qâçam,"properly, to distribute, i.e. determine by lot or magical scroll; by implication, to divine",a primitive root;,H7080,"divine(-r, -ation), prudent, soothsayer, use (divination)."
7081,קֶסֶם,keh'-sem,qeçem,"a lot; also divination (including its fee), oracle",from H7080 (קָסַם);,H7081,"(reward of) divination, divine sentence, witchcraft."
7082,קָסַס,kaw-sas',qâçaç,to lop off,a primitive root;,H7082,cut off.
7083,קֶסֶת,keh'-seth,qeçeth,"properly, a cup, i.e. an ink-stand",from the same as H3563 (כּוֹס) (or as H7185 (קָשָׁה));,H7083,inkhorn.
7084,קְעִילָה,keh-ee-law',Qᵉʻîylâh,"Keilah, a place in Palestine",perhaps from H7049 (קָלַע) in the sense of enclosing; citadel;,H7084,Keilah.
7085,קַעֲקַע,kah-ak-ah',qaʻăqaʻ,an incision or gash,from the same as H6970 (קוֹעַ);,H7085,[phrase] mark.
7086,קְעָרָה,keh-aw-raw',qᵉʻârâh,a bowl (as cut out hollow),probably from H7167 (קָרַע);,H7086,"charger, dish."
7087,קָפָא,kaw-faw',qâphâʼ,"to shrink, i.e. thicken (as unracked wine, curdled milk, clouded sky, frozen water)",a primitive root;,H7087,"congeal, curdle, dark, settle."
7088,קָפַד,kaw-fad',qâphad,"to contract, i.e. roll together",a primitive root;,H7088,cut off.
7089,קְפָדָה,kef-aw-daw',qᵉphâdâh,"shrinking, i.e., terror",from H7088 (קָפַד);,H7089,destruction.
7090,קִפּוֹד,kip-pode',qippôwd,"a species of bird, perhaps the bittern (from its contracted form)","or קִפֹּדlemma קִכֹּד kaf, corrected to קִפֹּד; from H7088 (קָפַד);",H7090,bittern.
7091,קִפּוֹז,kip-poze',qippôwz,spring forward; an arrow-snake (as darting on its prey),"from an unused root meaning to contract, i.e.",H7091,great owl.
7092,קָפַץ,kaw-fats',qâphats,"to draw together, i.e. close; by implication, to leap (by contracting the limbs); specifically, to die (from gathering up the feet)",a primitive root;,H7092,"shut (up), skip, stop, take out of the way."
7093,קֵץ,kates,qêts,an extremity; adverbially (with prepositional prefix) after,contracted from H7112 (קָצַץ);,H7093,"[phrase] after, (utmost) border, end, (in-) finite, [idiom] process."
7094,קָצַב,kaw-tsab',qâtsab,"to clip, or (generally) chop",a primitive root;,H7094,"cut down, shorn."
7095,קֶצֶב,keh'-tseb,qetseb,shape (as if cut out); base (as if there cut off),from H7094 (קָצַב);,H7095,"bottom, size."
7096,קָצָה,kaw-tsaw',qâtsâh,to cut off; (figuratively) to destroy; (partially) to scrape off,a primitive root;,H7096,"cut off, cut short, scrape (off)."
7097,קָצֶה,kaw-tseh',qâtseh,an extremity,or (negative only) קֵצֶה; from H7096 (קָצָה); (used in a great variety of applications and idioms; compare H7093 (קֵץ)),H7097,"[idiom] after, border, brim, brink, edge, end, (in-) finite, frontier, outmost coast, quarter, shore, (out-) side, [idiom] some, ut(-ter-) most (part)."
7098,קָצָה,kaw-tsaw',qâtsâh,a termination,feminine of H7097 (קָצֶה); (used like H7097 (קָצֶה)),H7098,"coast, corner, (selv-) edge, lowest, (uttermost) participle"
7099,קֶצֶו,keh'-tsev,qetsev,a limit,"and (feminine) קִצְוָה; from H7096 (קָצָה); (used like H7097 (קָצֶה), but with less variety)",H7099,"end, edge, uttermost participle"
7100,קֶצַח,keh'-tsakh,qetsach,fennelflower (from its pungency),from an unused root apparently meaning to incise;,H7100,fitches.
7101,קָצִין,kaw-tseen',qâtsîyn,a magistrate (as deciding) or other leader,from H7096 (קָצָה) in the sense of determining;,H7101,"captain, guide, prince, ruler. Compare H6278 (עֵת קָצִין)."
7102,קְצִיעָה,kets-ee-aw',qᵉtsîyʻâh,cassia (as peeled; plural the bark),from H7106 (קָצַע);,H7102,cassia.
7103,קְצִיעָה,kets-ee-aw',Qᵉtsîyʻâh,"Ketsiah, a daughter of Job",the same as H7102 (קְצִיעָה);,H7103,Kezia.
7104,קְצִיץ,kets-eets',Qᵉtsîyts,"Keziz, a valley in Palestine",from H7112 (קָצַץ); abrupt;,H7104,Keziz.
7105,קָצִיר,kaw-tseer',qâtsîyr,"severed, i.e. harvest (as reaped), the crop, the time, the reaper, or figuratively; also a limb (of a tree, or simply foliage)",from H7114 (קָצַר);,H7105,"bough, branch, harvest (man)."
7106,קָצַע,kaw-tsah',qâtsaʻ,"to strip off, i.e. (partially) scrape; by implication, to segregate (as an angle)",a primitive root;,H7106,"cause to scrape, corner."
7107,קָצַף,kaw-tsaf',qâtsaph,"to crack off, i.e. (figuratively) burst out in rage",a primitive root;,H7107,"(be) anger(-ry), displease, fret self, (provoke to) wrath (come), be wroth."
7108,קְצַף,kets-af',qᵉtsaph,to become enraged,(Aramaic) corresponding to H7107 (קָצַף);,H7108,be furious.
7109,קְצַף,kets-af',qᵉtsaph,rage,(Aramaic) from H7108 (קְצַף);,H7109,wrath.
7110,קֶצֶף,keh'-tsef,qetseph,"a splinter (as chipped off); figuratively, rage or strife",from H7107 (קָצַף);,H7110,"foam, indignation, [idiom] sore, wrath."
7111,קְצָפָה,kets-aw-faw',qᵉtsâphâh,a fragment,from H7107 (קָצַף);,H7111,bark(-ed).
7112,קָצַץ,kaw-tsats',qâtsats,to chop off (literally or figuratively),a primitive root;,H7112,"cut (asunder, in pieces, in sunder, off), [idiom] utmost."
7113,קְצַץ,kets-ats',qᵉtsats,{to chop off (literally or figuratively)},(Aramaic) corresponding to H7112 (קָצַץ),H7113,cut off.
7114,קָצַר,kaw-tsar',qâtsar,"to dock off, i.e. curtail (transitive or intransitive, literal or figurative); especially to harvest (grass or grain)",a primitive root;,H7114,"[idiom] at all, cut down, much discouraged, grieve, harvestman, lothe, mourn, reap(-er), (be, wax) short(-en, -er), straiten, trouble, vex."
7115,קֹצֶר,ko'-tser,qôtser,"shortness (of spirit), i.e. impatience",from H7114 (קָצַר);,H7115,anguish.
7116,קָצֵר,kaw-tsare',qâtsêr,"short (whether in size, number, life, strength or temper)",from H7114 (קָצַר);,H7116,"few, hasty, small, soon."
7117,קְצָת,kets-awth',qᵉtsâth,a termination (literally or figuratively); also (by implication) a portion; adverbially (with prepositional prefix) after,from H7096 (קָצָה);,H7117,"end, part, [idiom] some."
7118,קְצָת,kets-awth',qᵉtsâth,{a termination (literally or figuratively); also (by implication) a portion; adverbially (with prepositional prefix) after},(Aramaic) corresponding to H7117 (קְצָת),H7118,"end, partly."
7119,קַר,kar,qar,"cool; figuratively, quiet",contracted from an unused root meaning to chill;,H7119,"cold, excellent (from the margin)."
7120,קֹר,kore,qôr,cold,from the same as H7119 (קַר);,H7120,cold.
7121,קָרָא,kaw-raw',qârâʼ,"to call out to (i.e. properly, address by name, but used in a wide variety of applications)",a primitive root (rather identical with H7122 (קָרָא) through the idea of accosting a person met);,H7121,"bewray (self), that are bidden, call (for, forth, self, upon), cry (unto), (be) famous, guest, invite, mention, (give) name, preach, (make) proclaim(-ation), pronounce, publish, read, renowned, say."
7122,קָרָא,kaw-raw',qârâʼ,"to encounter, whether accidentally or in a hostile manner",a primitive root;,H7122,"befall, (by) chance, (cause to) come (upon), fall out, happen, meet."
7123,קְרָא,ker-aw',qᵉrâʼ,"{to call out to (i.e. properly, address by name, but used in a wide variety of applications)}",(Aramaic) corresponding to H7121 (קָרָא),H7123,"call, cry, read."
7124,קֹרֵא,ko-ray',qôrêʼ,"a caller, i.e. partridge (from its cry)","properly, active participle of H7121 (קָרָא);",H7124,partridge. See also H6981 (קוֹרֵא).
7125,קִרְאָה,keer-aw',qirʼâh,"an encountering, accidental, friendly or hostile (also adverbially, opposite)",from H7122 (קָרָא);,H7125,"[idiom] against (he come), help, meet, seek, [idiom] to, [idiom] in the way."
7126,קָרַב,kaw-rab',qârab,"to approach (causatively, bring near) for whatever purpose",a primitive root;,H7126,"(cause to) approach, (cause to) bring (forth, near), (cause to) come (near, nigh), (cause to) draw near (nigh), go (near), be at hand, join, be near, offer, present, produce, make ready, stand, take."
