id,pronunciation,lemma,transliteration,definition,strongsNumber,englishWord
5050,tel-i'-o-sis,τελείωσις,teleíōsis,"[τελείωσις] from {{g5448}}; (the act) completion, i.e. (of prophecy) verification, or (of expiation) absolution",g5050,"performance 1, perfection 1"
5051,tel-i-o-tace',τελειωτής,teleiōtḗs,"[τελειωτής] from {{g5048}}; a completer, i.e. consummater",g5051,finisher 1
5052,tel-es-for-eh'-o,τελεσφορέω,telesphoréō,"[τελεσφορέω] from a compound of {{g5056}} and {{g5342}}; to be a bearer to completion (maturity), i.e. to ripen fruit (figuratively)",g5052,bring fruit to perfection 1
5053,tel-yoo-tah'-o,τελευτάω,teleutáō,"[τελευτάω] from a presumed derivative of {{g5055}}; to finish life (by implication, of {{g979}}), i.e. expire (demise)",g5053,"die 8, be dead 3, decrease 1"
5054,tel-yoo-tay',τελευτή,teleutḗ,[τελευτή] from {{g5053}}; decease,g5054,death 1
5055,tel-eh'-o,τελέω,teléō,"[τελέω] from {{g5056}}; to end, i.e. complete, execute, conclude, discharge (a debt)",g5055,"finish 8, fulfil 7, accomplish 4, pay 2, perform 1, expire 1, misc 3"
5056,tel'-os,τέλος,télos,"[τέλος] from a primary τέλλω (to set out for a definite point or goal); properly, the point aimed at as a limit, i.e. (by implication) the conclusion of an act or state (termination (literally, figuratively or indefinitely), result (immediate, ultimate or prophetic), purpose); specially, an impost or levy (as paid) Compare {{g5411}}.",g5056,"end 35, custom 3, uttermost 1, finally 1, ending 1, by (one's) continual + \\1519\\ 1"
5057,tel-o'-nace,τελώνης,telṓnēs,"[τελώνης] from {{g5056}} and {{g5608}}; a tax-farmer, i.e. collector of public revenue",g5057,publican 22
5058,tel-o'-nee-on,τελώνιον,telṓnion,[τελώνιον] neuter of a presumed derivative of {{g5057}}; a tax-gatherer's place of business,g5058,receipt of custom 3
5059,ter'-as,τέρας,téras,[τέρας] of uncertain affinity; a prodigy or omen,g5059,wonder 16
5060,ter'-tee-os,Τέρτιος,Tértios,"[Τέρτιος] of Latin origin; third; Tertius, a Christian",g5060,Tertius 1
5061,ter'-tool-los,Τέρτυλλος,Tértyllos,"[Τέρτυλλος] of uncertain derivation; Tertullus, a Roman",g5061,Tertullus 2
5062,tes-sar-ak'-on-tah,τεσσαράκοντα,tessarákonta,[τεσσαράκοντα] the decade of {{g5064}}; forty,g5062,forty 22
5063,tes-sar-ak-on-tah-et-ace',τεσσαρακονταετής,tessarakontaetḗs,[τεσσαρακονταετής] from {{g5062}} and {{g2094}}; of forty years of age,g5063,"forty years old 1, of forty years 1"
5064,tes'-sar-es,τέσσαρες,téssares,"[τέσσαρες] , or neuter      τέσσαραa plural number; four",g5064,four 42
5065,tes-sar-es-kahee-dek'-at-os,τεσσαρεσκαιδέκατος,tessareskaidékatos,[τεσσαρεσκαιδέκατος] from {{g5064}} and {{g2532}} and {{g1182}}; fourteenth,g5065,fourteenth 2
5066,tet-ar-tah'-yos,τεταρταῖος,tetartaîos,[τεταρταῖος] from {{g5064}}; pertaining to the fourth day,g5066,four days 1
5067,tet'-ar-tos,τέταρτος,tétartos,[τέταρτος] ordinal from {{g5064}}; fourth,g5067,"fourth 9, four 1"
5068,tet-rag'-o-nos,τετράγωνος,tetrágōnos,"[τετράγωνος] from {{g5064}} and {{g1137}}; four-cornered, i.e. square",g5068,foursquare 1
5069,tet-rad'-ee-on,τετράδιον,tetrádion,[τετράδιον] neuter of a presumed derivative of τέτρας (a tetrad; from {{g5064}}); a quaternion or squad (picket) of four Roman soldiers,g5069,quaternion 1
5070,tet-rak-is-khil'-ee-oy,τετρακισχίλιοι,tetrakischílioi,[τετρακισχίλιοι] from the multiplicative adverb of {{g5064}} and {{g5507}}; four times a thousand,g5070,four thousand 5
5071,tet-rak-os'-ee-oy,τετρακόσιοι,tetrakósioi,"[τετρακόσιοι] ,  or neuter      τετρακόσιαplural from {{g5064}} and {{g1540}}; four hundred",g5071,four hundred 4
5072,tet-ram'-ay-non,τετράμηνον,tetrámēnon,[τετράμηνον] neuter of a compound of {{g5064}} and {{g3376}}; a four months' space,g5072,four months 1
5073,tet-rap-lo'-os,τετραπλόος,tetraplóos,[τετραπλόος] from {{g5064}} and a derivative of the base of {{g4118}}; quadruple,g5073,fourfold 1
5074,tet-rap'-ooce,τετράπους,tetrápous,[τετράπους] from {{g5064}} and {{g4228}}; a quadruped,g5074,fourfooted beast 3
5075,tet-rar-kheh'-o,τετραρχέω,tetrarchéō,[τετραρχέω] from {{g5076}}; to be a tetrarch,g5075,"tetrarch 2, be tetrarch 1"
5076,tet-rar'-khace,τετράρχης,tetrárchēs,"""[τετράρχης] from {{g5064}} and {{g757}}; the ruler of a fourth part of a country (""tetrarch"")"",g5076,""tetrarch 4",NULL,
5077,tef-ro'-o,τεφρόω,tephróō,"[τεφρόω] from τέφρα (ashes); to incinerate, i.e. consume",g5077,turn into ashes 1
5078,tekh'-nay,τέχνη,téchnē,"[τέχνη] from the base of {{g5088}}; art (as productive), i.e. (specially), a trade, or (generally) skill",g5078,"art 1, occupation 1, craft 1"
5079,tekh-nee'-tace,τεχνίτης,technítēs,"[τεχνίτης] from {{g5078}}; an artisan; figuratively, a founder (Creator)",g5079,"craftsman 3, builder 1"
5080,tay'-ko,τήκω,tḗkō,[τήκω] apparently a primary verb; to liquefy,g5080,melt 1
5081,tay-low-goce',τηλαυγῶς,tēlaugōs,"[τηλαυγῶς] adverb from a compound of a derivative of {{g5056}} and {{g827}}; in a far-shining manner, i.e. plainly",g5081,clearly 1
5082,tay-lik-oo'-tos,τηλικοῦτος,tēlikoûtos,"[τηλικοῦτος] , or feminine      τηλικαύτηfrom a compound of {{g3588}} with {{g2245}} and {{g3778}}; such as this, i.e. (in (figurative) magnitude) so vast",g5082,"so great 3, so mighty 1"
5083,tay-reh'-o,τηρέω,tēréō,"[τηρέω] from τερός (a watch; perhaps akin to {{g2334}}); to guard (from loss or injury, properly, by keeping the eye upon; and thus differing from {{g5442}}, which is properly to prevent escaping; and from {{g2892}}, which implies a fortress or full military lines of apparatus), i.e. to note (a prophecy; figuratively, to fulfil a command); by implication, to detain (in custody; figuratively, to maintain); by extension, to withhold (for personal ends; figuratively, to keep unmarried); by extension, to withhold (for personal ends; figuratively, to keep unmarried)",g5083,"keep 57, reserve 8, observe 4, watch 2, preserve 2, keeper 1, hold fast 1"
5084,tay'-ray-sis,τήρησις,tḗrēsis,"[τήρησις] from {{g5083}}; a watching, i.e. (figuratively) observance, or (concretely) a prison",g5084,"hold 1, prison 1, keeping 1"
5085,tib-er-ee-as',Τιβεριάς,Tiberiás,"[Τιβεριάς] from {{g5086}}; Tiberias, the name of a town and a lake in Palestine",g5085,Tiberias 3
5086,tib-er'-ee-os,Τιβέριος,Tibérios,"[Τιβέριος] of Latin origin; probably pertaining to the river Tiberis or Tiber; Tiberius, a Roman emperor",g5086,Tiberius 1
5087,tith'-ay-mee,τίθημι,títhēmi,"[τίθημι] ; a prolonged form of a primary      θέω       (which is used only as alternate in                               certain tenses); to place (in the widest application, literally and figuratively; properly, in a passive or horizontal posture, and thus different from {{g2476}}, which properly denotes an upright and active position, while {{g2749}} is properly reflexive and utterly  prostrate)",g5087,"lay 28, put 18, lay down 12, make 10, appoint 6, kneel down + \\1119\\ + \\3588\\ 5, misc 17"
5088,tik'-to,τίκτω,tíktō,"[τίκτω] a strengthened form of a primary τέκω (which is used only as alternate in certain tenses); to produce (from seed, as a mother, a plant, the earth, etc.), literally or figuratively",g5088,"bring forth 9, be delivered 5, be born 3, be in travail 1, bear 1"
5089,til'-lo,τίλλω,tíllō,"[τίλλω] perhaps akin to the alternate of {{g138}}, and thus to {{g4951}}; to pull off",g5089,pluck 3
5090,tim'-ah-yos,Τιμαῖος,Timaîos,"[Τιμαῖος] probably of Chaldee origin (compare {{h2931}}); Timæus (i.e. Timay), an Israelite",g5090,Timaeus 1
5091,tim-ah'-o,τιμάω,timáō,"[τιμάω] from {{g5093}}; to prize, i.e. fix a valuation upon; by implication, to revere",g5091,"honour 19, value 2"
5092,tee-may',τιμή,timḗ,"[τιμή] from {{g5099}}; a value, i.e. money paid, or (concretely and collectively) valuables; by analogy, esteem (especially of the highest degree), or the dignity itself",g5092,"honour 35, price 8, sum 1, precious 1"
5093,tim'-ee-os,τίμιος,tímios,"[τίμιος] ,        including the comparative      τιμιώτερος,  and the superlative      τιμιώτατοςfrom {{g5092}}; valuable, i.e. (objectively) costly, or (subjectively) honored, esteemed, or (figuratively) beloved",g5093,"precious 8, most precious 2, more precious 1, dear 1, honourable 1, had in reputation 1"
5094,tim-ee-ot'-ace,τιμιότης,timiótēs,"[τιμιότης] from {{g5093}}; expensiveness, i.e. (by implication) magnificence",g5094,costliness 1
5095,tee-moth'-eh-os,Τιμόθεος,Timótheos,"[Τιμόθεος] from {{g5092}} and {{g2316}}; dear to God; Timotheus, a Christian",g5095,"Timotheus 19, Timothy 9"
5096,tee'-mone,Τίμων,Tímōn,"[Τίμων] from {{g5092}}; valuable; Timon, a Christian",g5096,Timon 1
5097,tim-o-reh'-o,τιμωρέω,timōréō,"[τιμωρέω] from a comparative of {{g5092}} and οὖρος ouros (a guard); properly, to protect one's honor, i.e. to avenge (inflict a penalty)",g5097,punish 2
5098,tee-mo-ree'-ah,τιμωρία,timōría,"[τιμωρία] from {{g5097}}; vindication, i.e. (by implication) a penalty",g5098,punishment 1
5099,tee'-no,τίνω,tínō,"[τίνω] ; strengthened for a primary      τίω    (which is only used as an alternate in                        certain tenses); to pay a price, i.e. as a penalty",g5099,be punished + \\1349\\ 1
5100,tis,τὶς,tìs,[τὶς] an enclitic indefinite pronoun; some or any person or object,g5100,"certain 104, some 73, any man 55, any 37, one 34, man 34, anything 24, a 9, certain man 7, something 6, somewhat 6, ought 5, some man 4, certain thing 2, nothing + \\3756\\ 2, divers 2, he 2, thing 1, another 2, not tr 17, misc 22"
5101,tis,τίς,tís,"[τίς] probably emphatic of {{g5100}}; an interrogative pronoun, who, which or what (in direct or indirect questions)",g5101,"what 260, who 102, why 66, whom 25, which 17, misc 67"
5102,tit'-los,τίτλος,títlos,"""[τίτλος] of Latin origin; a titulus or ""title"" (placard)"",g5102,""title 2",NULL,
5103,tee'-tos,Τίτος,Títos,"[Τίτος] of Latin origin but uncertain significance; Titus, a Christian",g5103,Titus 15
5104,toy,τοί,toí,[τοί] probably for the dative case of {{g3588}}; an enclitic particle of asseveration by way of contrast; in sooth),g5104,Not used in AV according to Scrivener text.
5105,toy-gar-oon',τοιγαροῦν,toigaroûn,"[τοιγαροῦν] from {{g5104}} and {{g1063}} and {{g3767}}; truly for then, i.e. consequently",g5105,"therefore 1, wherefore 1"
5106,toy'-noon,τοίνυν,toínyn,"[τοίνυν] from {{g5104}} and {{g3568}}; truly now, i.e. accordingly",g5106,"therefore 3, then 1"
5107,toy-os'-deh,τοιόσδε,toiósde,"[τοιόσδε] (including the other inflections); from a derivative of 5104 and {{g1161}}; such-like then, i.e. so great",g5107,such 1
5108,toy-oo'-tos,τοιοῦτος,toioûtos,"[τοιοῦτος] (including the other inflections); from {{g5104}} and {{g3778}}; truly this, i.e. of this sort (to denote character or individuality)",g5108,"such 39, such thing 11, such an one 8, like 1, such a man 1, such a fellow 1"
5109,toy'-khos,τοῖχος,toîchos,[τοῖχος] another form of {{g5038}}; a wall,g5109,wall 1
5110,tok'-os,τόκος,tókos,[τόκος] from the base of {{g5088}}; interest on money loaned (as a produce),g5110,usury 2
5111,tol-mah'-o,τολμάω,tolmáō,"[τολμάω] from τόλμα (boldness; probably itself from the base of {{g5056}} through the idea of extreme conduct); to venture (objectively or in act; while {{g2292}} is rather subjective or in feeling); by implication, to be courageous",g5111,"durst 7, dare 4, be bold 4, boldly 1"
5112,tol-may-rot'-er-on,τολμηρότερον,tolmēróteron,"[τολμηρότερον] neuter of the compound of a derivative of the base of 5111 (as adverb); more daringly, i.e. with greater confidence than otherwise",g5112,the more boldly 1
5113,tol-may-tace',τολμητής,tolmētḗs,[τολμητής] from {{g5111}}; a daring (audacious) man,g5113,presumptuous 1
5114,tom-o'-ter-os,τομώτερος,tomṓteros,"[τομώτερος] comparative of a derivative of the primary τέμνω (to cut; more comprehensive or decisive than {{g2875}}, as if by a single stroke; whereas that implies repeated blows, like hacking); more keen",g5114,sharper 1
5115,tox'-on,τόξον,tóxon,[τόξον] from the base of {{g5088}}; a bow (apparently as the simplest fabric),g5115,bow 1
5116,top-ad'-zee-on,τοπάζιον,topázion,"""[τοπάζιον] neuter of a presumed derivative (alternately) of τόπαζος (a ""topaz""; of uncertain origin); a gem, probably the chrysolite"",g5116,""topaz 1",NULL,
5117,top'-os,τόπος,tópos,"[τόπος] apparently a primary word; a spot (general in space, but limited by occupancy; whereas {{g5561}} is a large but participle locality), i.e. location (as a position, home, tract, etc.); figuratively, condition, opportunity; specially, a scabbard",g5117,"place 80, room 5, quarter 2, licence 1, coast 1, where 1, plain + \\3977\\ 1, rock + \\5138\\ 1"
5118,tos-oo'-tos,τοσοῦτος,tosoûtos,"[τοσοῦτος] from τόσος (so much; apparently from {{g3588}} and {{g3739}}) and {{g3778}} (including its variations); so vast as this, i.e. such (in quantity, amount, number of space)",g5118,"so much 7, so great 5, so many 4, so long 2, as large 1, these many 1, so many things 1"
5119,tot'-eh,τότε,tóte,"[τότε] from (the neuter of) {{g3588}} and {{g3753}}; the when, i.e. at the time that (of the past or future, also in consecution)",g5119,"then 149, that time 4, when 1, not tr 5"
5120,too,τοῦ,toû,"[τοῦ] properly, the genitive case of {{g3588}}; sometimes used for {{g5127}}; of this person",g5120,his 1
5121,too-nan-tee'-on,τοὐναντίον,tounantíon,[τοὐναντίον] contraction for the neuter of {{g3588}} and {{g1726}}; on the contrary,g5121,contrariwise 3
5122,too'-no-mah,τοὔνομα,toúnoma,[τοὔνομα] contraction for the neuter of {{g3588}} and {{g3686}}; the name (is),g5122,name 1
5123,toot-es'-tee,τουτέστι,toutésti,[τουτέστι] contraction for {{g5124}} and {{g2076}}; that is,g5123,"that is 12, that is to say 5"
5124,too'-to,τοῦτο,toûto,[τοῦτο] neuter singular nominative or accusative case of {{g3778}}; that thing,g5124,"this 199, therefore + \\1223\\ 44, that 22, for this cause + \\1223\\ 14, wherefore + \\1223\\ 7, it 5, not tr 1, misc 25"
5125,too'-toice,τούτοις,toútois,"[τούτοις] dative case plural masculine or neuter of {{g3778}}; to (for, in, with or by) these (persons or things)",g5125,"these 7, these things 3, this 2, such 1, them 1, therein 1, therewith 1, those 1, therewith + \\1909\\ 1, not tr 1"
5126,too'-ton,τοῦτον,toûton,"[τοῦτον] accusative case singular masculine of {{g3778}}; this (person, as objective of verb or preposition)",g5126,"this 39, him 18, that 4, this fellow 2, the same 1"
5127,too'-too,τούτου,toútou,[τούτου] genitive case singular masculine or neuter of {{g3778}}; of (from or concerning) this (person or thing),g5127,"this 64, that 4, him 2, thus 1, thereabout + \\4012\\ 1, it 1, thenceforth 1, misc 3"
5128,too'-tooce,τούτους,toútous,"[τούτους] accusative case plural masculine of {{g3778}}; these (persons, as objective of verb or preposition)",g5128,"these 17, them 7, these men 1, this 1, such 1"
5129,too'-to,τούτῳ,toútōi,"[τούτῳ] dative case singular masculine or neuter of {{g3778}}; to (in, with or by) this (person or thing)",g5129,"this 59, him 10, hereby + \\1722\\ 8, herein + \\1722\\ 7, misc 5"
5130,too'-tone,τούτων,toútōn,[τούτων] genitive case plural masculine or neuter of {{g3778}}; of (from or concerning) these (persons or things),g5130,"these 38, these things 21, such 2, these matters 1, such matters 1, those 1, not tr 1, misc 4"
5131,trag'-os,τράγος,trágos,[τράγος] from the base of {{g5176}}; a he-goat (as a gnawer),g5131,goat 4
5132,trap'-ed-zah,τράπεζα,trápeza,"[τράπεζα] probably contracted from {{g5064}} and {{g3979}}; a table or stool (as being four-legged), usually for food (figuratively, a meal); also a counter for money (figuratively, a broker's office for loans at interest)",g5132,"table 13, bank 1, meat 1"
5133,trap-ed-zee'-tace,τραπεζίτης,trapezítēs,[τραπεζίτης] from {{g5132}}; a money-broker or banker,g5133,exchanger 1
5134,trow'-mah,τραῦμα,traûma,"[τραῦμα] from the base of τιτρώσκω (to wound; akin to the base of {{g2352}}, {{g5147}}, {{g5149}}, etc.); a wound",g5134,wound 1
5135,trow-mat-id'-zo,τραυματίζω,traumatízō,[τραυματίζω] from {{g5134}}; to inflict a wound,g5135,wound 2
5136,trakh-ay-lid'-zo,τραχηλίζω,trachēlízō,"[τραχηλίζω] from {{g5137}}; to seize by the throat or neck, i.e. to expose the gullet of a victim for killing (generally, to lay bare)",g5136,open 1
5137,trakh'-ay-los,τράχηλος,tráchēlos,"[τράχηλος] probably from {{g5143}} (through the idea of mobility); the throat (neck), i.e. (figuratively) life",g5137,neck 7
5138,trakh-oos',τραχύς,trachýs,"[τραχύς] perhaps strengthened from the base of {{g4486}} (as if jagged by rents); uneven, rocky (reefy)",g5138,"rough 1, rock + \\5117\\ 1"
5139,trakh-o-nee'-tis,Τραχωνῖτις,Trachōnîtis,"[Τραχωνῖτις] from a derivative of {{g5138}}; rough district; Trachonitis, a region of Syria",g5139,Trachonitis 1
5140,trice,τρεῖς,treîs,"""[τρεῖς] ,   or neuter      τρίαa primary (plural) number; ""three"""",g5140,""three 69",NULL,
5141,trem'-o,τρέμω,trémō,"""[τρέμω] strengthened from a primary τρέω (to ""dread"", ""terrify""); to ""tremble"" or fear"",g5141,""tremble 4",NULL,
5142,tref'-o,τρέφω,tréphō,"[τρέφω] a primary verb (properly, τρέφω; but perhaps strengthened from the base of {{g5157}} through the idea of convolution); properly, to stiffen, i.e. fatten (by implication, to cherish (with food, etc.), pamper, rear)",g5142,"feed 4, nourish 3, bring up 1"
5143,trekh'-o,τρέχω,tréchō,"[τρέχω] apparently a primary verb (properly, θρέχω; compare {{g2359}}); which uses δρέμω (the base of {{g1408}}) as alternate in certain tenses; to run or walk hastily (literally or figuratively)",g5143,"run 19, have course 1"
5144,tree-ak'-on-tah,τριάκοντα,triákonta,[τριάκοντα] the decade of {{g5140}}; thirty,g5144,"thirty 9, thirty fold 2"
5145,tree-ak-os'-ee-oy,τριακόσιοι,triakósioi,[τριακόσιοι] plural from {{g5140}} and {{g1540}}; three hundred,g5145,three hundred 2
5146,trib'-ol-os,τρίβολος,tríbolos,"[τρίβολος] from {{g5140}} and {{g956}}; properly, a crow-foot (three-pronged obstruction in war), i.e. (by analogy) a thorny plant (caltrop)",g5146,"thistle 1, brier 1"
5147,tree'-bos,τρίβος,tríbos,"""[τρίβος] from τρίβω (to ""rub""; akin to τείρω, τρύω, and the base of {{g5131}}, {{g5134}}); a rut or worn track"",g5147,""path 3",NULL,
5148,tree-et-ee'-ah,τριετία,trietía,[τριετία] from a compound of {{g5140}} and {{g2094}}; a three years' period (triennium),g5148,space of three years 1
5149,trid'-zo,τρίζω,trízō,"[τρίζω] apparently a primary verb; to creak (squeak), i.e. (by analogy) to grate the teeth (in frenzy)",g5149,gnash 1
5150,trim'-ay-non,τρίμηνον,trímēnon,[τρίμηνον] neuter of a compound of {{g5140}} and {{g3376}} as noun; a three months' space,g5150,three months 1
5151,trece,τρίς,trís,[τρίς] adverb from {{g5140}}; three times,g5151,"thrice 11, three times 1"
5152,tris'-teg-on,τρίστεγον,trístegon,[τρίστεγον] neuter of a compound of {{g5140}} and {{g4721}} as noun; a third roof (story),g5152,third loft 1
5153,tris-khil'-ee-oy,τρισχίλιοι,trischílioi,[τρισχίλιοι] from {{g5151}} and {{g5507}}; three times a thousand,g5153,three thousand 1
5154,tree'-tos,τρίτος,trítos,"[τρίτος] ordinal from {{g5140}}; third; neuter (as noun) a third part, or (as adverb) a (or the) third time, thirdly",g5154,"third 56, thirdly 1"
5155,trikh'-ee-nos,τρίχινος,tríchinos,"[τρίχινος] from {{g2359}}; hairy, i.e. made of hair (mohair)",g5155,of hair 1
5156,trom'-os,τρόμος,trómos,"""[τρόμος] from {{g5141}}; a ""trembling"", i.e. quaking with fear"",g5156,""trembling 4, tremble + \\2192\\ 1",NULL,
5157,trop-ay',τροπή,tropḗ,"""[τροπή] from an apparently primary τρέπω to turn; a turn (""trope""), i.e. revolution (figuratively, variation)"",g5157,""turning 1",NULL,
5158,trop'-os,τρόπος,trópos,"[τρόπος] from the same as {{g5157}}; a turn, i.e. (by implication) mode or style (especially with preposition or relative prefix as adverb, like); figuratively, deportment or character",g5158,"as + \\3739\\ 3, even as + \\2596\\ + \\3739\\ 2, way 2, means 2, even as + \\3739\\ 1, in like manner as + \\3639\\ 1, manner 1, conversation 1"
5159,trop-of-or-eh'-o,τροποφορέω,tropophoréō,[τροποφορέω] from {{g5158}} and {{g5409}}; to endure one's habits,g5159,suffer (one's) manners 1
5160,trof-ay',τροφή,trophḗ,"[τροφή] from {{g5142}}; nourishment (literally or figuratively); by implication, rations (wages)",g5160,"meat 11, food 2, some meat 2, not tr 1"
5161,trof'-ee-mos,Τρόφιμος,Tróphimos,"[Τρόφιμος] from {{g5160}}; nutritive; Trophimus, a Christian",g5161,Trophimus 3
5162,trof-os',τροφός,trophós,"[τροφός] from {{g5142}}; a nourisher, i.e. nurse",g5162,nurse 1
5163,trokh-ee-ah',τροχιά,trochiá,"[τροχιά] from {{g5164}}; a track (as a wheel-rut), i.e. (figuratively) a course of conduct",g5163,path 1
5164,trokh-os',τροχός,trochós,"[τροχός] from {{g5143}}; a wheel (as a runner), i.e. (figuratively) a circuit of physical effects",g5164,course 1
5165,troob'-lee-on,τρύβλιον,trýblion,[τρύβλιον] neuter of a presumed derivative of uncertain affinity; a bowl,g5165,dish 2
5166,troo-gah'-o,τρυγάω,trygáō,[τρυγάω] from a derivative of τρύγω (to dry) meaning ripe fruit (as if dry); to collect the vintage,g5166,gather 3
5167,troo-gone',τρυγών,trygṓn,"[τρυγών] from τρύζω (to murmur; akin to {{g5149}}, but denoting a duller sound); a turtle-dove (as cooing)",g5167,turtledove 1
5168,troo-mal-ee-ah',τρυμαλιά,trymaliá,"[τρυμαλιά] from a derivative of τρύω (to wear away; akin to the base of {{g5134}}, {{g5147}} and {{g5176}}); an orifice, i.e. needle's eye Compare {{g5169}}.",g5168,eye 2
5169,troo'-pay-mah,τρύπημα,trýpēma,"[τρύπημα] from a derivative of the base of {{g5168}}; an aperture, i.e. a needle's eye",g5169,eye 1
5170,troo'-fahee-nah,Τρύφαινα,Trýphaina,"[Τρύφαινα] from {{g5172}}; luxurious; Tryphæna, a Christian woman",g5170,Tryphena 1
5171,troo-fah'-o,τρυφάω,trypháō,[τρυφάω] from {{g5172}}; to indulge in luxury,g5171,live in pleasure 1
5172,troo-fay',τρυφή,tryphḗ,"[τρυφή] from θρύπτω (to break up or (figuratively) enfeeble, especially the mind and body by indulgence); effeminacy, i.e. luxury or debauchery",g5172,"delicately 1, to riot 1"
5173,troo-fo'-sah,Τρυφῶσα,Tryphōsa,"[Τρυφῶσα] from {{g5172}}; luxuriating; Tryphosa, a Christian female",g5173,Tryphosa 1
5174,tro-as',Τρωάς,Trōás,"[Τρωάς] from Τρός (a Trojan); the Troad (or plain of Troy), i.e. Troas, a place in Asia Minor",g5174,Troas 6
5175,tro-gool'-lee-on,Τρωγύλλιον,Trōgýllion,"[Τρωγύλλιον] of uncertain derivation; Trogyllium, a place in Asia Minor",g5175,Trogyllium 1
5176,tro'-go,τρώγω,trṓgō,"[τρώγω] probably strengthened from a collateral form of the base of {{g5134}} and {{g5147}} through the idea of corrosion or wear; or perhaps rather of a base of {{g5167}} and {{g5149}} through the idea of a craunching sound; to gnaw or chew, i.e. (generally) to eat",g5176,eat 6
5177,toong-khan'-o,τυγχάνω,tynchánō,"[τυγχάνω] probably for an obsolete τύχω (for which the middle voice of another alternate τεύχω (to make ready or bring to pass) is used in certain tenses; akin to the base of {{g5088}} through the idea of effecting; properly, to affect; or (specially), to hit or light upon (as a mark to be reached), i.e. (transitively) to attain or secure an object or end, or (intransitively) to happen (as if meeting with); but in the latter application only impersonal (with {{g1487}}), i.e. perchance; or (present participle) as adjective, usual (as if commonly met with, with {{g3756}}, extraordinary), neuter (as adverb) perhaps; or (with another verb) as adverb, by accident (as it were) Compare {{g5180}}.",g5177,"obtain 5, be 1, chance 1, little 1, enjoy 1, may be 1, not tr 1, misc 2"
5178,toom-pan-id'-zo,τυμπανίζω,tympanízō,"""[τυμπανίζω] from a derivative of {{g5180}} (meaning a drum, ""tympanum""); to stretch on an instrument of torture resembling a drum, and thus beat to death"",g5178,""torture 1",NULL,
5179,too'-pos,τύπος,týpos,"""[τύπος] from {{g5180}}; a die (as struck), i.e. (by implication) a stamp or scar; by analogy, a shape, i.e. a statue, (figuratively) style or resemblance; specially, a sampler (""type""), i.e. a model (for imitation) or instance (for warning)"",g5179,""ensample 5, print 2, figure 2, example 2, pattern 2, fashion 1, manner 1, form 1",NULL,
5180,toop'-to,τύπτω,týptō,"""[τύπτω] a primary verb (in a strengthened form); to ""thump"", i.e. cudgel or pummel (properly, with a stick or bastinado), but in any case by repeated blows; thus differing from {{g3817}} and {{g3960}}, which denote a (usually single) blow with the hand or any instrument, or {{g4141}} with the fist (or a hammer), or {{g4474}} with the palm; as well as from {{g5177}}, an accidental collision); by implication, to punish; figuratively, to offend (the conscience)"",g5180,""smite 9, beat 3, strike 1, wound 1",NULL,
5181,too'-ran-nos,Τύραννος,Týrannos,"""[Τύραννος] a provincial form of the derivative of the base of {{g2962}}; a ""tyrant""; Tyrannus, an Ephesian"",g5181,""Tyrannus 1",NULL,
5182,toor-bad'-zo,τυρβάζω,tyrbázō,"""[τυρβάζω] from τύρβη (Latin , a crowd; akin to {{g2351}}); to make ""turbid"", i.e. disturb"",g5182,""trouble 1",NULL,
5183,too'-ree-os,Τύριος,Týrios,"[Τύριος] from {{g5184}}; a Tyrian, i.e. inhabitant of Tyrus",g5183,of Tyre 1
5184,too'-ros,Τύρος,Týros,"[Τύρος] of Hebrew origin ({{h6865}}): Tyrus (i.e. Tsor), a place in Palestine",g5184,Tyre 11
5185,toof-los',τυφλός,typhlós,"[τυφλός] from, {{g5187}}; opaque (as if smoky), i.e. (by analogy) blind (physically or mentally)",g5185,"blind 44, blind man 9"
5186,toof-lo'-o,τυφλόω,typhlóō,"[τυφλόω] from {{g5185}}; to make blind, i.e. (figuratively) to obscure",g5186,blind 3
5187,toof-o'-o,τυφόω,typhóō,"[τυφόω] from a derivative of {{g5188}}; to envelop with smoke, i.e. (figuratively) to inflate with self-conceit",g5187,"be proud 1, be lifted up with pride 1, highminded 1"
5188,too'-fo,τύφω,týphō,"[τύφω] apparently a primary verb; to make a smoke, i.e. slowly consume without flame",g5188,smoke 1
5189,too-fo-nee-kos',τυφωνικός,typhōnikós,[τυφωνικός] from a derivative of {{g5188}}; stormy (as if smoky),g5189,tempestuous 1
5190,too-khee-kos',Τυχικός,Tychikós,"[Τυχικός] from a derivative of {{g5177}}; fortuitous, i.e. fortunate; Tychicus, a Christian",g5190,Tychicus 7
5191,hoo-ak-in'-thee-nos,ὑακίνθινος,hyakínthinos,"""[ὑακίνθινος] from {{g5192}}; ""hyacinthine"" or ""jacinthine"", i.e. deep blue"",g5191,""jacinth 1",NULL,
5192,hoo-ak'-in-thos,ὑάκινθος,hyákinthos,"""[ὑάκινθος] of uncertain derivation; the ""hyacinth"" or ""jacinth"", i.e. some gem of a deep blue color, probably the zirkon"",g5192,""jacinth 1",NULL,
5193,hoo-al'-ee-nos,ὑάλινος,hyálinos,"[ὑάλινος] from {{g5194}}; glassy, i.e. transparent",g5193,of glass 3
5194,hoo'-al-os,ὕαλος,hýalos,[ὕαλος] perhaps from the same as {{g5205}} (as being transparent like rain); glass,g5194,glass 2
